,M403.428793492735,M148.413159102577,M54.5981500331442,M20.0855369231877,M7.38905609893065,M2.71828182845904,M1,Purity,wt
1,1.2540791794,1.1446385639,1.0263503767,1.0865523321,0.969033499,1.0694342042,0.9903830742,89.21,0
2,1.1729123257,1.096938612,0.9903830742,0.9553774643,0.9649943901,0.9934604905,0.9911524283,83.86,0
3,0.0538868408,-0.0009296362,0.3748998237,1.0590479243,1.0078858791,1.0251963456,1.0084628947,88.47,0
4,0.0246513864,-0.0226638884,1.1807982048,1.030197147,1.0998236897,1.0455842282,0.976150024,94.02,1
5,1.2342683122,1.1202115724,1.0802051611,0.9732649463,1.0615483251,1.0642410643,0.9963455682,65.33,0
6,1.1169418176,1.0240423145,1.127905113,1.0721269434,1.1227119731,1.036928995,0.9890367046,79.73,0
7,1.1638724155,1.2334989582,1.1390607469,1.0475076134,1.12828979,1.0146177272,0.9967302452,82.29,0
8,1.0988619971,1.1117486777,0.9249879788,0.9263343485,1.0269273922,1.1088635999,1.1794518352,84.19,0
9,1.3392851418,1.2840839878,1.0878987017,1.2071485815,1.1059785222,1.10367046,1.1111716621,79.84,0
10,0.8605545761,0.9651867286,1.0598172784,0.9828818721,1.1507933964,1.0677031576,1.0448148742,71.82,0
11,0.8198257374,0.7524328123,0.9678794679,0.9371053053,0.9138323449,0.9255649944,0.9553774643,88.66,0
12,1.3200512903,1.2481166854,1.0523160763,1.0432761661,0.9967302452,1.0721269434,0.9905754127,86.07,0
13,1.2153917632,1.156681833,1.1694938322,1.1112062755,1.0941142239,1.080513794,1.1006469356,88.83,0
14,0.9271077029,1.0444712469,1.0316592478,1.0605777602,1.0272102458,0.9082698404,1.0265062898,35.13,0
15,1.0493989389,1.0487794576,0.9391031131,0.8661451135,1.0527216112,1.0178053937,1.0183404003,89.95,0
16,1.0707992012,1.1937943932,1.011385315,0.9532385496,1.0972116303,0.9248550437,1.0508068509,91.52,0
17,1.33191056,0.9780741172,0.9323451355,1.0722071132,1.1604831954,0.9696548034,1.1090944075,88.13,0
18,1.0060352494,1.0928471031,0.922771334,1.0430633349,1.0730518604,0.9789188644,1.1067009571,91.55,0
19,1.1996231489,1.1880782705,1.269934274,1.1368302739,1.0974650545,0.917843642,1.1126141875,85.63,0
20,1.2547569827,1.2853649895,1.3285878877,1.0843151564,1.0391774978,1.0532003013,1.0230709846,82.31,0
21,1.0667725729,1.0859483343,1.0114697897,1.0563540242,1.0871309804,1.1136842006,1.0512292245,90.72,0
22,1.0312931906,1.0987321752,1.0787679831,1.0836956751,1.0562413912,1.1410540099,1.1411384846,84.45,0
23,0.0281427199,9.19178824655497E-005,1.2346801576,1.171943599,1.2073666649,1.1918796329,1.1941886086,85.75,0
24,1.141898757,1.174280733,1.1119947063,1.1462632842,1.1010693092,1.1316209995,1.1707046365,79.92,0
25,0.9273060666,1.0644579811,1.0556004475,1.0871456987,1.0809920438,1.0661051716,1.0522749876,78.75,0
26,1.2747700149,1.11402909,0.903623819,1.0088264545,0.9805445052,0.9225820487,0.9674912979,72.26,0
27,1.0470537046,0.9741732969,0.9267777225,0.9960840378,0.9295126803,0.9733963202,0.9664035306,84.76,0
28,1.0053455992,0.9371892093,0.8743473396,0.947507459,1.0304885629,0.9956178518,1.0299602188,68.47,0
29,0.923669816,0.8744094978,0.8334472899,0.985206365,1.0440390353,1.052026355,0.9843672302,84.74,0
30,1.1166086524,1.2608776728,0.9988189955,1.0068063153,1.0611946793,0.9850509697,1.0795313277,54.4,0
31,-0.2607533565,1.1387991049,1.0855917454,0.9708478369,1.0144206862,1.020014918,0.9994094978,89.69,0
32,1.3673234709,1.2355482347,1.1245959722,1.062997265,1.1124129786,0.999502735,1.0082670313,89.55,0
33,1.3294070114,1.2517715067,1.1937468921,1.0366422178,1.0689644455,1.0007458976,0.9505532074,86.52,0
34,1.0692130781,1.0633080557,1.1561412233,1.0942938836,1.0716994033,1.0430134262,1.0109398309,80.23,0
35,1.0466807558,1.0426093983,1.0960032322,1.0252362009,1.0711399801,0.7821046743,1.0454997514,91.53,0
36,-0.2239868225,0.8857533565,1.2311971656,1.2296432123,1.0744965191,0.8488314272,0.9949030333,93.11,1
37,0.4987154075,0.765355806,0.8954313537,0.8613685434,0.9791409514,0.9945801855,0.9213885661,90.57,0
38,0.5850303759,1.0186557413,1.0155678944,0.984834169,0.9720244294,1.0201755409,0.9678268876,86.55,0
39,0.8236630387,1.0436238777,1.0128177809,0.9774040375,0.9468874263,1.0000321651,0.9830731313,81.86,0
40,0.8139652698,0.9825424076,0.9810949794,0.9739784574,1.0114186003,0.9320512872,1.0098023054,72.97,0
41,1.0402465453,1.1480799463,1.0609930162,1.0293425862,0.9987536035,0.9897554248,1.0214299787,88.94,0
42,0.8495478797,0.9753535142,0.9694431824,0.9473699023,0.9471286643,0.9829525123,1.002734031,82.7,0
43,0.826823257,0.9843999405,0.9387577045,0.8821873857,0.9256584793,0.8830799664,0.9541245673,88.79,0
44,0.9939770904,1.0339261088,0.9745574287,0.9470080453,0.9890317107,0.9858473687,1.0137103616,68.01,0
45,0.8392952633,0.8922470117,0.9462360836,0.9828801409,0.9351873816,0.9278296216,0.9472492833,87.94,0
46,0.9511573395,1.0472906959,0.9958104995,0.9881873776,0.9492274352,0.9570917951,0.9965824612,71.14,0
47,0.3441183649,0.9540093629,1.0261272852,0.9862092257,1.0373034413,1.0205132741,1.009729934,88.56,0
48,1.1586461722,1.186147308,1.0257722633,0.9912752245,0.8721036359,1.0067144586,0.9483831021,91.73,0
49,0.7917083725,0.9738379992,0.8944852043,0.8207046473,0.8532093682,0.8156483574,0.9203857915,71.12,0
50,0.8803482305,0.9582563711,1.1283747296,0.8278660049,0.9958173819,0.8675527213,0.9858492675,83.41,0
51,0.9970143812,1.1025154182,1.0271870174,1.0112958205,0.979926185,0.9642826432,1.0402301816,90.65,0
52,0.7566239118,0.8462956657,0.7741661421,0.706948443,0.6129840022,0.769667076,0.9813708393,88.92,0
53,1.1092846554,1.0264646902,1.0269393624,0.9885941106,0.9583595607,1.0119562339,1.0546767242,67.51,0
54,0.769419421,0.7920179412,0.7847533941,0.7226332608,0.6718639824,0.9041231121,1.0451007302,89.75,0
55,0.8164738741,0.8318903989,0.9876654043,0.9789562029,1.0172808167,0.9650049703,1.0628493398,94.71,0
56,0.8142656169,0.8700292714,0.8132749968,0.782008551,0.687074128,0.7720610745,0.967337055,86.73,0
57,1.2543073055,0.9694008468,1.0369487526,1.018725471,1.0368868389,0.9303539059,1.0016991886,74.73,0
58,0.8003350222,0.8241511796,0.9493820663,1.010160735,0.982196356,0.9936091247,1.0487536417,78.55,0
59,0.9716710178,0.8502168701,0.974395223,0.9987686042,1.0286935854,1.0337292374,1.0111513551,64.56,0
60,0.8941756356,0.783515119,0.7847533941,0.7717308678,0.6878583688,1.0007085685,1.082434724,85.06,0
61,1.074440614,1.0145695972,0.9804952221,1.0430599431,1.0209597714,1.0556043466,1.0338777543,0,0
62,0.8903446106,0.8880834721,0.753162317,0.8734352266,0.8320858839,0.859022926,0.9737118064,88.01,0
63,0.9106948577,0.8998807167,0.9221971713,0.9486426615,0.9190905635,0.9513953519,0.9724337716,74.58,0
64,1.0630759349,1.0241450275,0.8780558141,0.9357640027,0.9612853753,0.9939047569,1.0095950923,89.55,0
65,1.2127043217,1.1113463278,1.0675392258,1.0415852875,1.0637051213,1.0438071019,1.0420965015,81.35,0
66,-0.0074748653,-0.0318558377,1.0651797769,1.1191128472,1.0839767201,1.0631152591,1.0686796262,90.61,0
67,0.1745861133,0.0011764475,0.9974046062,1.1077678302,1.0760529041,1.0692105022,1.0579637956,91.85,0
68,-0.0278251124,-0.0236960768,1.1788265674,1.1001979315,1.0731429171,1.0838194235,1.0412510323,87.25,0
69,1.2062158371,1.0605198652,1.0822071334,1.0488799172,1.0202126126,1.0226703719,1.0150021628,86.34,0
70,1.0663791634,0.8984060612,0.8475795986,1.0179907981,0.978627325,0.9966574473,1.0048368703,82.98,0
71,1.0305352017,0.6979512118,0.7419352725,0.9349185335,0.9657879904,0.9814390017,1.0140190591,83.43,0
72,0.014261558,0.1814875015,1.1234778277,1.114826515,1.0648455216,1.0902095977,1.0618372242,90.73,0
73,0.1048498603,-0.0221030402,1.2318487403,1.1568691848,1.1339713547,1.1143643487,1.0339066549,87.1,0
74,0.1936627004,-0.0458974721,1.1268773626,1.085791325,1.0875254119,1.0737118328,1.0069100738,86.4,0
75,-0.00732389,-0.0469320126,1.1705645307,1.1456961472,1.0743029989,1.0542230601,0.9765241409,89.14,1
76,1.1489475603,1.0734359554,1.0465181964,0.982691973,1.0090776825,1.0071071291,0.9591241547,84.65,0
77,1.1414988686,1.0652384534,1.0838207716,0.9782582279,1.0399759592,1.0191275047,0.920915125,85.11,0
78,0.0249833324,-0.0117083712,1.2175228174,1.0224380343,1.0733768388,0.9907712417,0.9911062358,85.97,0
79,1.0602135423,1.0146543485,0.9916382852,1.0516613407,1.0377689395,1.0429712004,1.0031266113,84.89,0
80,1.1498737204,1.0889442104,1.024014477,1.0563906688,1.0317587517,0.9644052377,0.9397733207,73.68,0
81,1.0380054059,1.0852986866,1.0123882121,1.063524072,1.0243691766,0.9711642358,0.9579418227,71.16,0
82,0.8194316267,0.8953964589,0.9989293327,0.9730756725,0.9307087752,0.956069797,0.940857125,57.53,0
83,1.0482522834,1.0130187892,1.0051365758,1.0120926291,1.0223395066,0.9739624215,0.9414877021,65.41,0
84,0.0311117534,-0.0029394088,1.1197833705,1.063819655,0.9776670619,0.9901603702,1.02726589,79.64,0
85,0.850497149,0.8206016501,0.8735653679,0.8927730357,0.9531535758,0.9527161734,0.9416099576,87.53,0
86,-0.0194960998,1.0270745708,0.9907701768,0.957945984,0.9333753831,0.9883359377,0.9380917214,91.82,0
87,1.0287481101,1.0177559992,0.9136922779,0.9412296077,0.93499187,0.9261107008,0.9882408502,86.17,0
88,1.0456166264,1.026466011,0.9100789543,0.9475053804,0.9440822316,0.9695086197,0.9540473979,86.96,0
89,1.0730018162,0.9574705467,0.9648112989,0.9411155027,1.0087797426,0.9771536518,0.9717336664,82.65,0
90,0.9730648909,0.9708398442,0.9440251792,0.8894069395,0.9836386169,0.9641266692,0.9637463193,89.04,0
91,1.0327037487,0.9315306863,0.9582502639,0.9168872168,0.8780915312,0.9612740452,0.9581932114,86.12,0
92,1.0335975708,0.9657051211,0.9559111122,0.9709349316,1.0020855851,0.9448809663,0.9782186314,82.95,0
93,0.8486524521,0.8372419564,0.7504271012,0.7476695647,0.7830421016,0.9082722925,0.9389855435,82.51,0
94,0.0697910294,0.0081743524,-0.007562623,1.0529003262,1.0169192295,1.0019714801,1.0126783286,90.59,0
95,1.0742569707,0.9696607596,0.9933185208,1.0162916523,1.0244311392,1.0331221335,1.0522347139,82.3,0
96,0.0507735365,-0.0068970108,1.1295027876,1.1143268283,1.0668781834,1.0991508689,1.0621618452,88.11,1
